Temperature,Humidity,Pressure,CO,CO2,Fire
26.9,49.4,1030.0,0.0,728.0,False
26.1,51.1,1030.0,0.0,541.0,False
28.4,45.4,1030.0,0.54,907.0,False
27.0,48.2,1030.0,0.0,664.0,False
27.5,47.8,1030.0,0.09,918.0,False
27.2,47.7,1030.0,0.0,428.0,False
26.5,50.3,1030.0,0.0,563.0,False
28.6,46.9,1030.0,0.32,810.0,False
28.0,47.1,1030.0,0.08,519.0,False
26.9,49.6,1030.0,0.0,729.0,False
26.1,50.8,1030.0,0.0,542.0,False
28.4,45.6,1030.0,0.49,967.0,False
26.9,48.2,1030.0,0.0,702.0,False
27.5,47.5,1030.0,0.08,922.0,False
27.2,47.9,1030.0,0.0,427.0,False
26.5,50.6,1030.0,0.0,590.0,False
28.6,46.8,1030.0,0.28,860.0,False
28.0,46.9,1030.0,0.1,536.0,False
26.9,49.9,1030.0,0.0,730.0,False
26.1,50.9,1030.0,0.0,542.0,False
28.5,45.2,1030.0,0.56,973.0,False
27.0,47.9,1030.0,0.0,720.0,False
27.5,47.4,1030.0,0.16,912.0,False
27.2,47.7,1030.0,0.0,441.0,False
26.5,50.0,1030.0,0.0,612.0,False
28.6,46.7,1030.0,0.29,608.0,False
28.0,46.8,1030.0,0.1,393.0,False
26.9,49.8,1030.0,0.0,730.0,False
26.0,50.7,1030.0,0.0,542.0,False
28.5,45.2,1030.0,0.58,961.0,False
27.0,48.1,1030.0,0.0,715.0,False
27.5,47.4,1030.0,0.2,896.0,False
27.3,47.6,1030.0,0.0,236.0,False
26.5,50.4,1030.0,0.0,603.0,False
28.6,45.8,1030.0,0.3,667.0,False
28.0,46.8,1030.0,0.02,320.0,False
26.9,49.6,1030.0,0.0,729.0,False
26.0,50.8,1030.0,0.0,544.0,False
28.5,45.1,1030.0,0.49,947.0,False
27.0,48.1,1030.0,0.0,694.0,False
27.5,47.3,1030.0,0.13,907.0,False
27.3,47.5,1030.0,0.0,306.0,False
26.5,49.9,1030.0,0.0,604.0,False
28.6,47.0,1030.0,0.28,821.0,False
27.9,46.8,1030.0,0.0,310.0,False
26.9,49.8,1030.0,0.0,733.0,False
26.0,50.7,1030.0,0.0,543.0,False
28.6,44.9,1030.0,0.52,902.0,False
27.0,47.8,1030.0,0.0,688.0,False
27.5,47.5,1030.0,0.04,909.0,False
27.3,47.3,1030.0,0.0,506.0,False
26.5,50.0,1030.0,0.07,611.0,False
28.6,47.2,1030.0,0.21,835.0,False
28.0,47.0,1030.0,0.0,343.0,False
26.9,49.5,1030.0,0.0,739.0,False
26.1,50.7,1030.0,0.0,543.0,False
28.5,45.0,1030.0,0.54,948.0,False
27.0,47.8,1030.0,0.0,711.0,False
27.5,47.1,1030.0,0.015,919.0,False
27.3,47.5,1030.0,0.0,540.0,False
26.5,49.8,1030.0,0.08,601.0,False
28.5,47.1,1030.0,0.16,702.0,False
27.9,46.8,1030.0,0.15,561.0,False
27.0,49.3,1030.0,0.0,744.0,False
26.1,50.7,1030.0,0.0,544.0,False
28.6,44.8,1030.0,0.5,985.0,False
27.1,47.7,1030.0,0.0,729.0,False
27.5,47.1,1030.0,0.13,917.0,False
27.3,47.4,1030.0,0.0,323.0,False
26.6,49.8,1030.0,0.09,563.0,False
28.6,47.1,1030.0,0.23,326.0,False
27.9,46.8,1030.0,0.12,611.0,False
26.9,48.7,1030.0,0.0,744.0,False
26.1,50.4,1030.0,0.0,545.0,False
28.6,44.7,1030.0,0.41,988.0,False
27.1,47.2,1030.0,0.016666668,717.0,False
27.5,46.9,1030.0,0.04,897.0,False
27.3,47.4,1030.0,0.0,443.0,False
26.6,49.5,1030.0,0.06,575.0,False
28.6,46.4,1030.0,0.27,785.0,False
28.0,46.9,1030.0,0.17,594.0,False
26.9,48.7,1030.0,0.0,743.0,False
26.0,50.1,1030.0,0.0,545.0,False
28.6,44.3,1030.0,0.48,938.0,False
27.1,46.9,1030.0,0.0,683.0,False
27.5,46.5,1030.0,0.05,897.0,False
27.3,47.3,1030.0,0.0,443.0,False
26.6,49.5,1030.0,0.03,583.0,False
28.6,46.7,1030.0,0.29,838.0,False
28.0,46.4,1030.0,0.16,584.0,False
26.9,48.8,1030.0,0.0,741.0,False
26.1,50.4,1030.0,0.0,543.0,False
28.6,44.5,1030.0,0.47,930.0,False
27.1,47.0,1030.0,0.01,691.0,False
27.5,46.3,1030.0,0.01,905.0,False
27.3,47.0,1030.0,0.0,250.0,False
26.6,49.0,1030.0,0.15,595.0,False
28.6,46.6,1030.0,0.25,642.0,False
28.0,46.1,1030.0,0.0,378.0,False
26.9,48.6,1030.0,0.0,741.0,False
26.1,50.1,1030.0,0.0,541.0,False
28.7,44.1,1030.0,0.53,959.0,False
27.1,47.1,1030.0,0.0,669.0,False
27.5,46.4,1030.0,0.01,909.0,False
27.3,47.6,1030.0,0.0,312.0,False
26.6,49.1,1030.0,0.14,600.0,False
28.7,46.6,1030.0,0.3,267.0,False
28.0,46.0,1030.0,0.14,367.0,False
26.9,48.7,1030.0,0.0,726.0,False
26.1,49.7,1030.0,0.0,541.0,False
28.6,43.8,1030.0,0.53,983.0,False
27.1,46.9,1030.0,0.0,724.0,False
27.6,46.7,1030.0,0.0,907.0,False
27.3,47.1,1030.0,0.0,495.0,False
26.6,48.9,1030.0,0.1,599.0,False
28.6,46.6,1030.0,0.35,732.0,False
28.1,46.0,1030.0,0.2,332.0,False
26.9,48.6,1030.0,0.0,728.0,False
26.2,49.7,1030.0,0.0,541.0,False
28.6,44.0,1030.0,0.62,985.0,False
27.1,46.6,1030.0,0.0,701.0,False
27.6,46.5,1030.0,0.1,905.0,False
27.4,46.8,1030.0,0.0,589.0,False
26.6,49.2,1030.0,0.0,597.0,False
28.6,46.7,1030.0,0.29,811.0,False
28.1,45.9,1030.0,0.0,326.0,False
26.8,48.6,1030.0,0.0,729.0,False
26.1,49.6,1030.0,0.0,540.0,False
28.7,44.2,1030.0,0.59,949.0,False
27.1,46.6,1030.0,0.0,676.0,False
27.6,46.2,1030.0,0.05,904.0,False
27.4,46.6,1030.0,0.0,630.0,False
26.6,49.2,1030.0,0.08,606.0,False
28.7,46.4,1030.0,0.14,879.0,False
