timestamp,node_id,temperature,humidity,pressure,co_ppm,co2_ppm,fire,video_time_sec
2026-04-24 15:18:21,1,26.67,41.39,1013.37,0.0,453,0.0,-868.0
2026-04-24 15:18:31,1,26.74,41.94,1013.34,0.0,465,0.0,-858.0
2026-04-24 15:18:41,1,26.63,41.6,1013.34,0.0,463,0.0,-848.0
2026-04-24 15:18:51,1,26.14,42.14,1013.36,0.0,434,0.0,-838.0
2026-04-24 15:21:47,1,25.75,45.75,1013.26,0.0,462,0.0,-662.0
2026-04-24 15:21:50,1,25.75,45.75,1013.26,0.0,462,0.0,-659.0
2026-04-24 15:21:57,1,25.77,46.07,1013.29,0.0,448,0.0,-652.0
2026-04-24 15:22:16,1,24.96,46.33,1013.23,0.0,429,0.0,-633.0
2026-04-24 15:22:26,1,23.84,48.3,1013.16,0.0,409,0.0,-623.0
2026-04-24 15:22:36,1,23.9,49.58,1013.21,0.0,397,0.0,-613.0
2026-04-24 15:22:53,1,24.32,48.77,1013.21,0.0,410,0.0,-596.0
2026-04-24 15:22:56,1,24.09,49.33,1013.18,0.0,412,0.0,-593.0
2026-04-24 15:23:06,1,24.16,49.19,1013.24,0.0,428,0.0,-583.0
2026-04-24 15:23:16,1,24.26,48.72,1013.15,0.0,436,0.0,-573.0
2026-04-24 15:23:26,1,24.6,47.99,1013.16,0.0,444,0.0,-563.0
2026-04-24 15:23:39,1,24.8,47.21,1013.21,0.0,450,0.0,-550.0
2026-04-24 15:23:46,1,24.99,47.15,1013.17,0.0,455,0.0,-543.0
2026-04-24 15:23:56,1,25.24,47.4,1013.16,0.0,456,0.0,-533.0
2026-04-24 15:24:06,1,25.07,46.3,1013.17,0.0,455,0.0,-523.0
2026-04-24 15:24:16,1,24.96,46.28,1013.16,0.0,456,0.0,-513.0
2026-04-24 15:24:29,1,24.7,46.2,1013.13,0.0,455,0.0,-500.0
2026-04-24 15:24:36,1,24.16,46.36,1013.08,0.0,448,0.0,-493.0
2026-04-24 15:24:46,1,23.69,47.53,1013.09,0.0,430,0.0,-483.0
2026-04-24 15:24:56,1,23.56,47.86,1013.21,0.0,429,0.0,-473.0
2026-04-24 15:25:06,1,23.52,48.38,1013.2,0.0,423,0.0,-463.0
2026-04-24 15:25:16,1,23.44,49.18,1013.1,0.0,409,0.0,-453.0
2026-04-24 15:25:26,1,23.35,49.36,1013.16,0.0,403,0.0,-443.0
2026-04-24 15:25:39,1,23.64,49.1,1013.14,0.0,407,0.0,-430.0
2026-04-24 15:25:46,1,23.59,49.54,1013.15,0.0,407,0.0,-423.0
2026-04-24 15:25:56,1,23.66,50.24,1013.15,0.0,408,0.0,-413.0
2026-04-24 15:26:06,1,23.84,50.13,1013.1,0.0,410,0.0,-403.0
2026-04-24 15:26:16,1,23.73,49.76,1013.13,0.0,411,0.0,-393.0
2026-04-24 15:26:26,1,23.74,49.74,1013.12,0.0,424,0.0,-383.0
2026-04-24 15:26:36,1,23.48,48.39,1013.11,0.0,425,0.0,-373.0
2026-04-24 15:26:46,1,23.46,48.14,1013.13,0.0,436,0.0,-363.0
2026-04-24 15:26:56,1,23.58,48.76,1013.13,0.0,475,0.0,-353.0
2026-04-24 15:27:06,1,23.93,49.1,1013.09,7.0,588,0.0,-343.0
2026-04-24 15:27:16,1,24.0,47.64,1013.08,0.0,597,0.0,-333.0
2026-04-24 15:27:26,1,23.71,47.04,1013.1,0.0,532,0.0,-323.0
2026-04-24 15:27:35,1,23.45,47.46,1013.01,0.0,477,0.0,-314.0
2026-04-24 15:27:45,1,23.27,48.41,1013.13,0.0,452,0.0,-304.0
2026-04-24 15:27:55,1,23.29,49.55,1013.12,0.0,446,0.0,-294.0
2026-04-24 15:28:05,1,23.14,50.02,1013.28,0.0,430,0.0,-284.0
2026-04-24 15:28:15,1,23.08,50.45,1013.21,0.0,430,0.0,-274.0
2026-04-24 15:28:25,1,23.07,50.35,1013.15,0.0,439,0.0,-264.0
2026-04-24 15:28:35,1,23.82,50.0,1013.13,0.0,457,0.0,-254.0
2026-04-24 15:28:45,1,24.89,49.23,1013.19,0.0,473,0.0,-244.0
2026-04-24 15:28:48,1,24.89,49.23,1013.19,0.0,473,0.0,-241.0
2026-04-24 15:28:52,1,24.89,49.23,1013.19,0.0,473,0.0,-237.0
2026-04-24 15:28:55,1,25.76,47.28,1013.16,0.0,476,0.0,-234.0
2026-04-24 15:29:05,1,25.6,46.08,1013.15,0.0,473,0.0,-224.0
2026-04-24 15:29:15,1,25.52,46.13,1013.14,0.0,465,0.0,-214.0
2026-04-24 15:29:25,1,25.11,46.33,1013.15,0.0,441,0.0,-204.0
2026-04-24 15:29:38,1,24.85,46.78,1013.07,0.0,433,0.0,-191.0
2026-04-24 15:29:45,1,24.5,47.15,1013.06,0.0,427,0.0,-184.0
2026-04-24 15:29:55,1,24.11,47.77,1013.13,0.0,424,0.0,-174.0
2026-04-24 15:30:05,1,24.1,48.75,1013.03,9.0,544,0.4,-164.0
2026-04-24 15:30:15,1,25.67,49.19,1013.05,52.0,1060,0.4,-154.0
2026-04-24 15:30:25,1,26.36,46.67,1013.09,75.0,1167,0.4,-144.0
2026-04-24 15:30:35,1,26.13,45.07,1013.14,15.0,866,0.4,-134.0
2026-04-24 15:30:45,1,26.05,45.79,1013.1,13.0,728,0.4,-124.0
2026-04-24 15:30:55,1,25.77,45.55,1013.15,10.0,661,0.4,-114.0
2026-04-24 15:30:58,1,25.77,45.55,1013.15,10.0,661,0.4,-111.0
2026-04-24 15:31:05,1,25.8,46.18,1013.2,19.0,695,0.4,-104.0
2026-04-24 15:31:15,1,25.64,46.14,1013.03,9.0,658,0.4,-94.0
2026-04-24 15:31:25,1,25.81,46.69,1013.16,9.0,650,0.4,-84.0
2026-04-24 15:31:28,1,25.81,46.69,1013.16,9.0,650,0.4,-81.0
2026-04-24 15:31:35,1,26.08,46.75,1013.06,25.0,706,0.4,-74.0
2026-04-24 15:31:48,1,26.03,45.95,1013.1,15.0,652,0.4,-61.0
2026-04-24 15:31:58,1,25.83,45.59,1013.14,14.0,599,0.4,-51.0
2026-04-24 15:32:05,1,25.43,45.89,1013.06,5.0,545,0.4,-44.0
2026-04-24 15:32:15,1,25.17,45.63,1013.11,10.0,564,0.4,-34.0
2026-04-24 15:32:25,1,25.0,46.13,1013.11,8.0,546,0.4,-24.0
2026-04-24 15:32:28,1,25.0,46.13,1013.11,8.0,546,0.4,-21.0
2026-04-24 15:32:38,1,24.9,46.93,1013.1,7.0,544,0.4,-11.0
2026-04-24 15:32:45,1,24.9,47.62,1013.2,10.0,554,0.4,-4.0
2026-04-24 15:32:58,1,25.09,47.91,1013.06,32.0,599,1.0,9.0
