timestamp,node_id,seq,temperature,humidity,pressure,co_ppm,co2_ppm,rssi,snr,fire
2026-04-24 15:37:34,1,0,29.16,40.09,1013.06,7.00,701,-31,10,0.7
2026-04-24 15:37:44,1,1,29.28,39.72,1013.06,6.00,651,-22,10,0.7
2026-04-24 15:37:54,1,0,29.23,38.96,1013.14,2.00,588,-20,10,0.7
2026-04-24 15:38:04,1,1,29.00,39.40,1013.08,2.00,521,-17,10,0.7
2026-04-24 15:38:14,1,0,29.00,38.97,1013.08,2.00,524,-16,10,0.7
2026-04-24 15:40:23,1,1,26.12,43.03,1012.99,6.00,508,-17,10,0.7
2026-04-24 15:41:03,1,1,24.74,44.32,1012.86,5.00,498,-21,9,0.7
2026-04-24 15:41:13,1,0,24.79,44.86,1013.03,5.00,539,-14,10,0.7
2026-04-24 15:41:23,1,1,24.76,45.16,1012.92,2.00,544,-13,10,0.7
2026-04-24 15:41:27,1,1,24.76,45.16,1012.92,2.00,544,-13,10,0.7
2026-04-24 15:41:33,1,0,24.79,45.98,1012.96,3.00,576,-22,10,0.7
2026-04-24 15:41:43,1,1,24.73,46.83,1012.96,9.00,570,-25,10,0.7
2026-04-24 15:41:53,1,0,24.65,46.91,1012.97,2.00,585,-17,10,0.7
2026-04-24 15:42:03,1,1,24.73,47.28,1012.96,5.00,588,-18,10,0.7
2026-04-24 15:42:13,1,0,25.02,47.90,1012.95,5.00,637,-16,10,0.7
2026-04-24 15:42:23,1,1,25.02,47.15,1013.03,1.00,620,-19,10,0.7
2026-04-24 15:42:33,1,0,24.82,47.10,1012.97,2.00,574,-27,10,0.7
2026-04-24 15:43:03,1,1,24.54,47.52,1012.97,2.00,534,-20,10,0.7
2026-04-24 15:43:23,1,1,24.25,48.58,1012.96,2.00,532,-15,10,0.7
