timestamp,node_id,temperature,humidity,pressure,co_ppm,co2_ppm
2026-04-24 15:18:21,1,26.67,41.39,1013.37,0.0,453
2026-04-24 15:18:31,1,26.74,41.94,1013.34,0.0,465
2026-04-24 15:18:41,1,26.63,41.6,1013.34,0.0,463
2026-04-24 15:18:51,1,26.14,42.14,1013.36,0.0,434
2026-04-24 15:21:47,1,25.75,45.75,1013.26,0.0,462
2026-04-24 15:21:50,1,25.75,45.75,1013.26,0.0,462
2026-04-24 15:21:57,1,25.77,46.07,1013.29,0.0,448
2026-04-24 15:22:16,1,24.96,46.33,1013.23,0.0,429
2026-04-24 15:22:26,1,23.84,48.3,1013.16,0.0,409
2026-04-24 15:22:36,1,23.9,49.58,1013.21,0.0,397
2026-04-24 15:22:53,1,24.32,48.77,1013.21,0.0,410
2026-04-24 15:22:56,1,24.09,49.33,1013.18,0.0,412
2026-04-24 15:23:06,1,24.16,49.19,1013.24,0.0,428
2026-04-24 15:23:16,1,24.26,48.72,1013.15,0.0,436
2026-04-24 15:23:26,1,24.6,47.99,1013.16,0.0,444
2026-04-24 15:23:39,1,24.8,47.21,1013.21,0.0,450
2026-04-24 15:23:46,1,24.99,47.15,1013.17,0.0,455
2026-04-24 15:23:56,1,25.24,47.4,1013.16,0.0,456
2026-04-24 15:24:06,1,25.07,46.3,1013.17,0.0,455
2026-04-24 15:24:16,1,24.96,46.28,1013.16,0.0,456
2026-04-24 15:24:29,1,24.7,46.2,1013.13,0.0,455
2026-04-24 15:24:36,1,24.16,46.36,1013.08,0.0,448
2026-04-24 15:24:46,1,23.69,47.53,1013.09,0.0,430
2026-04-24 15:24:56,1,23.56,47.86,1013.21,0.0,429
2026-04-24 15:25:06,1,23.52,48.38,1013.2,0.0,423
2026-04-24 15:25:16,1,23.44,49.18,1013.1,0.0,409
2026-04-24 15:25:26,1,23.35,49.36,1013.16,0.0,403
2026-04-24 15:25:39,1,23.64,49.1,1013.14,0.0,407
2026-04-24 15:25:46,1,23.59,49.54,1013.15,0.0,407
2026-04-24 15:25:56,1,23.66,50.24,1013.15,0.0,408
2026-04-24 15:26:06,1,23.84,50.13,1013.1,0.0,410
2026-04-24 15:26:16,1,23.73,49.76,1013.13,0.0,411
2026-04-24 15:26:26,1,23.74,49.74,1013.12,0.0,424
2026-04-24 15:26:36,1,23.48,48.39,1013.11,0.0,425
2026-04-24 15:26:46,1,23.46,48.14,1013.13,0.0,436
2026-04-24 15:26:56,1,23.58,48.76,1013.13,0.0,475
2026-04-24 15:27:06,1,23.93,49.1,1013.09,7.0,588
2026-04-24 15:27:16,1,24.0,47.64,1013.08,0.0,597
2026-04-24 15:27:26,1,23.71,47.04,1013.1,0.0,532
2026-04-24 15:27:35,1,23.45,47.46,1013.01,0.0,477
2026-04-24 15:27:45,1,23.27,48.41,1013.13,0.0,452
2026-04-24 15:27:55,1,23.29,49.55,1013.12,0.0,446
2026-04-24 15:28:05,1,23.14,50.02,1013.28,0.0,430
2026-04-24 15:28:15,1,23.08,50.45,1013.21,0.0,430
2026-04-24 15:28:25,1,23.07,50.35,1013.15,0.0,439
2026-04-24 15:28:35,1,23.82,50.0,1013.13,0.0,457
2026-04-24 15:28:45,1,24.89,49.23,1013.19,0.0,473
2026-04-24 15:28:48,1,24.89,49.23,1013.19,0.0,473
2026-04-24 15:28:52,1,24.89,49.23,1013.19,0.0,473
2026-04-24 15:28:55,1,25.76,47.28,1013.16,0.0,476
2026-04-24 15:29:05,1,25.6,46.08,1013.15,0.0,473
2026-04-24 15:29:15,1,25.52,46.13,1013.14,0.0,465
2026-04-24 15:29:25,1,25.11,46.33,1013.15,0.0,441
2026-04-24 15:29:38,1,24.85,46.78,1013.07,0.0,433
2026-04-24 15:29:45,1,24.5,47.15,1013.06,0.0,427
2026-04-24 15:29:55,1,24.11,47.77,1013.13,0.0,424
2026-04-24 15:30:05,1,24.1,48.75,1013.03,9.0,544
2026-04-24 15:30:15,1,25.67,49.19,1013.05,52.0,1060
2026-04-24 15:30:25,1,26.36,46.67,1013.09,75.0,1167
2026-04-24 15:30:35,1,26.13,45.07,1013.14,15.0,866
2026-04-24 15:30:45,1,26.05,45.79,1013.1,13.0,728
2026-04-24 15:30:55,1,25.77,45.55,1013.15,10.0,661
2026-04-24 15:30:58,1,25.77,45.55,1013.15,10.0,661
2026-04-24 15:31:05,1,25.8,46.18,1013.2,19.0,695
2026-04-24 15:31:15,1,25.64,46.14,1013.03,9.0,658
2026-04-24 15:31:25,1,25.81,46.69,1013.16,9.0,650
2026-04-24 15:31:28,1,25.81,46.69,1013.16,9.0,650
2026-04-24 15:31:35,1,26.08,46.75,1013.06,25.0,706
2026-04-24 15:31:48,1,26.03,45.95,1013.1,15.0,652
2026-04-24 15:31:58,1,25.83,45.59,1013.14,14.0,599
2026-04-24 15:32:05,1,25.43,45.89,1013.06,5.0,545
2026-04-24 15:32:15,1,25.17,45.63,1013.11,10.0,564
2026-04-24 15:32:25,1,25.0,46.13,1013.11,8.0,546
2026-04-24 15:32:28,1,25.0,46.13,1013.11,8.0,546
2026-04-24 15:32:38,1,24.9,46.93,1013.1,7.0,544
2026-04-24 15:32:45,1,24.9,47.62,1013.2,10.0,554
2026-04-24 15:32:58,1,25.09,47.91,1013.06,32.0,599
2026-04-24 15:33:05,1,25.5,47.59,1013.22,44.0,755
2026-04-24 15:33:21,1,25.53,47.03,1013.1,27.0,762
2026-04-24 15:33:25,1,25.48,47.14,1013.19,32.0,710
2026-04-24 15:33:35,1,25.89,47.76,1013.18,48.0,812
2026-04-24 15:33:45,1,26.04,45.98,1013.17,13.0,773
2026-04-24 15:33:55,1,26.48,46.71,1013.06,57.0,835
2026-04-24 15:34:04,1,27.08,45.12,1013.05,36.0,886
2026-04-24 15:34:14,1,27.29,43.71,1013.13,27.0,850
2026-04-24 15:34:24,1,27.45,43.48,1013.12,65.0,815
2026-04-24 15:34:34,1,27.54,43.33,1013.12,58.0,874
2026-04-24 15:34:44,1,27.35,42.4,1013.1,26.0,834
2026-04-24 15:34:54,1,27.77,43.7,1013.18,42.0,935
2026-04-24 15:35:04,1,27.63,42.61,1013.1,34.0,844
2026-04-24 15:35:14,1,27.68,42.61,1013.2,49.0,877
2026-04-24 15:35:24,1,27.44,42.51,1013.12,34.0,868
2026-04-24 15:35:37,1,27.76,43.69,1012.97,40.0,977
2026-04-24 15:35:44,1,27.72,42.72,1013.13,15.0,891
2026-04-24 15:35:54,1,27.47,42.19,1013.11,21.0,749
2026-04-24 15:36:04,1,27.89,43.3,1013.07,52.0,893
2026-04-24 15:36:14,1,28.38,42.0,1013.09,21.0,1044
2026-04-24 15:36:24,1,28.7,40.83,1013.05,13.0,951
2026-04-24 15:36:34,1,29.14,40.12,1013.03,12.0,880
2026-04-24 15:36:44,1,29.35,39.6,1013.08,4.0,742
2026-04-24 15:36:54,1,29.05,39.34,1013.05,5.0,648
2026-04-24 15:37:00,1,29.05,39.34,1013.05,5.0,648
2026-04-24 15:37:07,1,28.76,40.02,1013.08,8.0,614
2026-04-24 15:37:14,1,28.57,40.43,1013.04,12.0,653
2026-04-24 15:37:17,1,28.57,40.43,1013.04,12.0,653
2026-04-24 15:37:20,1,28.57,40.43,1013.04,12.0,653
2026-04-24 15:37:24,1,28.64,40.52,1013.06,13.0,683
2026-04-24 15:37:34,1,29.16,40.09,1013.06,7.0,701
2026-04-24 15:37:44,1,29.28,39.72,1013.06,6.0,651
2026-04-24 15:37:54,1,29.23,38.96,1013.14,2.0,588
2026-04-24 15:38:04,1,29.0,39.4,1013.08,2.0,521
2026-04-24 15:38:14,1,29.0,38.97,1013.08,2.0,524
2026-04-24 15:38:24,1,28.56,39.06,1013.1,0.0,468
2026-04-24 15:38:34,1,28.03,39.87,1013.01,0.0,434
2026-04-24 15:38:47,1,27.84,41.03,1013.07,0.0,420
2026-04-24 15:38:54,1,27.63,41.47,1013.18,0.0,420
2026-04-24 15:39:04,1,27.23,41.75,1013.03,0.0,406
2026-04-24 15:39:14,1,27.15,42.34,1013.09,0.0,415
2026-04-24 15:39:24,1,27.05,42.58,1013.05,0.0,421
2026-04-24 15:39:34,1,27.57,42.65,1013.15,0.0,463
2026-04-24 15:39:44,1,27.74,42.36,1013.05,0.0,469
2026-04-24 15:39:54,1,27.59,41.84,1013.11,0.0,469
2026-04-24 15:39:57,1,27.59,41.84,1013.11,0.0,469
2026-04-24 15:40:04,1,27.15,41.36,1012.95,0.0,464
2026-04-24 15:40:14,1,26.7,41.81,1013.02,0.0,456
2026-04-24 15:40:23,1,26.12,43.03,1012.99,6.0,508
2026-04-24 15:40:33,1,25.59,44.3,1012.92,0.0,510
2026-04-24 15:40:43,1,25.21,44.73,1013.0,0.0,482
2026-04-24 15:40:53,1,24.89,44.22,1012.94,0.0,464
2026-04-24 15:41:03,1,24.74,44.32,1012.86,5.0,498
2026-04-24 15:41:13,1,24.79,44.86,1013.03,5.0,539
2026-04-24 15:41:23,1,24.76,45.16,1012.92,2.0,544
2026-04-24 15:41:27,1,24.76,45.16,1012.92,2.0,544
2026-04-24 15:41:33,1,24.79,45.98,1012.96,3.0,576
2026-04-24 15:41:43,1,24.73,46.83,1012.96,9.0,570
2026-04-24 15:41:53,1,24.65,46.91,1012.97,2.0,585
2026-04-24 15:42:03,1,24.73,47.28,1012.96,5.0,588
2026-04-24 15:42:13,1,25.02,47.9,1012.95,5.0,637
2026-04-24 15:42:23,1,25.02,47.15,1013.03,1.0,620
2026-04-24 15:42:33,1,24.82,47.1,1012.97,2.0,574
2026-04-24 15:42:43,1,24.79,47.48,1012.95,0.0,581
2026-04-24 15:42:53,1,24.55,47.37,1012.93,0.0,538
2026-04-24 15:43:03,1,24.54,47.52,1012.97,2.0,534
2026-04-24 15:43:13,1,24.47,47.87,1012.9,0.0,539
2026-04-24 15:43:23,1,24.25,48.58,1012.96,2.0,532
2026-04-24 15:43:33,1,24.55,49.55,1012.89,16.0,622
2026-04-24 15:43:43,1,25.03,48.7,1012.89,13.0,740
2026-04-24 15:43:56,1,25.4,47.41,1012.93,0.0,681
2026-04-24 15:44:03,1,26.07,46.66,1012.91,2.0,623
2026-04-24 15:44:13,1,26.68,44.25,1012.94,0.0,604
2026-04-24 15:44:23,1,26.99,43.62,1012.99,0.0,544
2026-04-24 15:44:33,1,27.79,43.15,1012.99,0.0,626
2026-04-24 15:44:39,1,27.79,43.15,1012.99,0.0,626
2026-04-24 15:44:42,1,27.79,43.15,1012.99,0.0,626
2026-04-24 15:44:43,1,28.6,42.03,1012.92,6.0,705
2026-04-24 15:44:53,1,29.22,40.57,1012.98,0.0,703
2026-04-24 15:45:03,1,29.52,39.53,1012.96,5.0,645
2026-04-24 15:45:13,1,30.14,38.99,1012.95,24.0,745
2026-04-24 15:45:23,1,30.87,38.13,1012.92,18.0,857
2026-04-24 15:45:33,1,31.44,36.88,1012.93,6.0,866
2026-04-24 15:45:36,1,31.44,36.88,1012.93,6.0,866
2026-04-24 15:45:43,1,31.47,36.7,1012.96,0.0,739
2026-04-24 15:45:53,1,31.4,36.54,1012.93,0.0,612
2026-04-24 15:46:06,1,30.73,36.96,1012.9,0.0,528
2026-04-24 15:46:13,1,29.61,38.22,1012.89,0.0,472
2026-04-24 15:46:23,1,28.9,40.11,1012.89,6.0,501
2026-04-24 15:46:36,1,27.93,40.51,1012.8,0.0,498
2026-04-24 15:46:43,1,27.17,41.82,1012.9,0.0,468
2026-04-24 15:46:56,1,26.8,42.7,1012.92,0.0,483
2026-04-24 15:47:02,1,27.08,43.74,1012.83,19.0,572
2026-04-24 15:47:12,1,27.72,43.8,1012.88,32.0,722
2026-04-24 15:47:16,1,27.72,43.8,1012.88,32.0,722
2026-04-24 15:47:22,1,28.95,43.15,1012.89,26.0,928
2026-04-24 15:47:32,1,29.79,41.16,1012.89,27.0,921
2026-04-24 15:47:42,1,30.67,39.63,1012.89,34.0,987
2026-04-24 15:47:52,1,31.04,38.34,1012.91,8.0,926
2026-04-24 15:48:02,1,31.5,37.9,1012.89,8.0,854
2026-04-24 15:48:12,1,31.5,37.9,1012.89,8.0,854
2026-04-24 15:48:12,1,31.65,36.92,1012.88,13.0,763
2026-04-24 15:48:22,1,31.68,36.58,1012.93,6.0,691
2026-04-24 15:48:32,1,31.65,36.7,1012.89,14.0,642
2026-04-24 15:48:42,1,31.84,36.62,1012.91,21.0,690
2026-04-24 15:48:52,1,31.92,36.1,1012.86,16.0,698
2026-04-24 15:49:02,1,32.05,35.81,1012.91,2.0,674
2026-04-24 15:49:12,1,32.49,35.9,1012.88,13.0,707
2026-04-24 15:49:22,1,31.96,35.42,1012.92,5.0,640
2026-04-24 15:49:25,1,31.96,35.42,1012.92,5.0,640
2026-04-24 15:49:32,1,31.93,35.69,1012.94,0.0,662
2026-04-24 15:49:42,1,32.03,35.84,1012.82,7.0,614
2026-04-24 15:49:52,1,32.11,35.91,1012.8,7.0,659
2026-04-24 15:50:05,1,31.93,35.78,1012.88,13.0,635
2026-04-24 15:50:12,1,31.99,36.26,1012.86,12.0,637
